Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,458,1,0.0,-0.337952,-0.355841,-0.00115975,0.168188,-0.329309,-0.354221,0.00173614,0.168942
PFOA,458,1,60606060.0,-0.662076,0.0853864,2.46512e-05,-4.87334e-05,1.23087e-05,3.5123e-05,0.489296,-0.439006
PFOA,458,1,121212121.0,-0.643813,0.214054,7.65385e-06,3.06408e-05,3.28798e-05,4.13392e-05,-0.103108,-0.698429
PFOA,458,1,181818181.0,-0.610261,0.343387,-1.25597e-05,-2.43076e-05,1.10068e-05,3.02854e-06,-0.701184,-0.281458
PFOA,458,1,242424242.0,-0.546189,0.475696,8.96986e-06,1.54217e-05,3.77165e-05,-2.88306e-05,-0.579609,0.472751
PFOA,458,1,303030303.0,-0.449706,0.599213,1.06553e-05,6.9837e-05,1.69746e-05,2.7642e-05,0.099303,0.699
PFOA,458,1,363636363.0,-0.305848,0.708207,6.58284e-06,-1.08992e-05,5.97282e-06,-9.29786e-05,0.59137,0.287487
PFOA,458,1,424242424.0,-0.130396,0.78185,7.00996e-05,-0.000221619,-0.000222434,-5.22052e-05,0.484155,-0.35591
PFOA,458,1,484848484.0,0.0462729,0.800238,5.1027e-06,0.000213831,0.000204047,0.000125442,0.342622,-0.524213
PFOA,458,1,545454545.0,0.237559,0.764273,4.97437e-05,7.18224e-05,8.90881e-05,9.55661e-07,-0.251089,-0.605265
PFOA,458,1,606060606.0,0.401049,0.696498,2.90526e-05,2.42694e-07,5.26283e-05,2.54412e-05,-0.645628,-0.189166
PFOA,458,1,666666666.0,0.543863,0.591584,7.09389e-05,-1.09515e-05,0.000110774,-1.89875e-05,-0.559418,0.389293
PFOA,458,1,727272727.0,0.669512,0.448309,4.13278e-05,-9.02968e-05,5.51014e-06,-0.000174058,-0.0141578,0.700452
PFOA,458,1,787878787.0,0.764492,0.289632,7.02003e-06,-0.000118381,1.60634e-05,-0.000213105,0.582187,0.434091
PFOA,458,1,848484848.0,0.821508,0.116897,-0.000172375,2.07429e-05,-9.63263e-05,-9.08612e-05,0.696703,-0.303635
PFOA,458,1,909090909.0,0.834051,-0.0822549,-0.000163758,8.90472e-05,-6.69976e-05,-2.67139e-05,-0.0421513,-0.758299
PFOA,458,1,969696969.0,0.789813,-0.293255,4.74912e-05,0.000156758,-0.000141308,7.22771e-05,-0.679821,-0.185143
PFOA,458,1,1030303030.0,0.666832,-0.492515,0.000181304,0.000127612,-6.01286e-05,0.000137885,-0.417792,0.482401
PFOA,458,1,1090909090.0,0.500176,-0.639893,7.75589e-05,-6.31779e-06,-3.25531e-05,0.000146083,0.149689,0.590866
PFOA,458,1,1151515151.0,0.309938,-0.724041,0.000126721,-5.9801e-05,5.98523e-05,6.56772e-05,0.537786,0.275181
PFOA,458,1,1212121212.0,0.115686,-0.749464,-2.77885e-05,-9.09334e-05,0.000150762,6.0925e-05,0.581062,-0.208903
PFOA,458,1,1272727272.0,-0.0654952,-0.736862,-3.09959e-06,3.97444e-05,1.21376e-05,-1.66993e-06,0.254236,-0.580617
PFOA,458,1,1333333333.0,-0.235772,-0.679756,0.000294861,2.4832e-05,-0.000256445,8.62515e-05,-0.244669,-0.584259
PFOA,458,1,1393939393.0,-0.381781,-0.612862,-0.000560812,-0.00027157,0.000659848,5.34565e-05,-0.565536,-0.278782
PFOA,458,1,1454545454.0,-0.514386,-0.507943,-0.000335877,0.000191684,0.000379848,-0.000227253,-0.576853,0.243661
