Frequency (Hz),S12 Real,S12 Imaginary
100000000,0.497661,0.490353
100590059,0.504978,0.483357
101180118,0.512029,0.47644
101770177,0.518822,0.469436
102360236,0.525916,0.462054
102950295,0.532779,0.454696
103540354,0.539647,0.44704
104130413,0.546095,0.439623
104720472,0.552547,0.431961
105310531,0.559142,0.424018
105900590,0.565438,0.416032
106490649,0.571564,0.408227
107080708,0.577678,0.400154
107670767,0.583622,0.392049
108260826,0.589533,0.383683
108850885,0.595226,0.375402
109440944,0.600881,0.366843
110031003,0.606408,0.358194
110621062,0.611799,0.34953
111211121,0.617051,0.340604
111801180,0.622148,0.331907
112391239,0.627251,0.322891
112981298,0.632201,0.313822
113571357,0.636923,0.304839
114161416,0.641539,0.295525
114751475,0.64596,0.286534
115341534,0.650261,0.27735
115931593,0.654649,0.267725
116521652,0.658674,0.25817
117111711,0.662579,0.248873
117701770,0.666401,0.239116
118291829,0.669949,0.229466
118881888,0.673604,0.219522
119471947,0.676929,0.209832
120062006,0.680077,0.200145
120652065,0.68319,0.190085
121242124,0.686079,0.180203
121832183,0.688799,0.170189
122422242,0.691315,0.160422
123012301,0.693771,0.150274
123602360,0.695975,0.140012
124192419,0.698224,0.129587
124782478,0.700284,0.119179
125372537,0.702051,0.109115
125962596,0.7038,0.0989002
126552655,0.705334,0.0884798
127142714,0.706774,0.0781041
127732773,0.707919,0.0676695
128322832,0.708992,0.0572634
128912891,0.709878,0.0469241
129502950,0.710624,0.0364656
130093009,0.711186,0.0260362
130683068,0.711602,0.0153398
131273127,0.711868,0.00491276
131863186,0.711918,-0.00551264
132453245,0.711807,-0.0158362
133043304,0.711674,-0.0266083
133633363,0.711272,-0.037272
134223422,0.710734,-0.0475018
134813481,0.710097,-0.0578791
135403540,0.709152,-0.0685094
135993599,0.708213,-0.0786705
136583658,0.706945,-0.088965
137173717,0.705664,-0.0996419
137763776,0.704209,-0.109781
138353835,0.702548,-0.120103
138943894,0.700803,-0.130439
139533953,0.698806,-0.140554
140124012,0.696611,-0.151209
140714071,0.69429,-0.161563
141304130,0.691842,-0.171822
141894189,0.68927,-0.181789
142484248,0.686548,-0.191978
143074307,0.683593,-0.202267
143664366,0.680628,-0.212313
144254425,0.677309,-0.222407
144844484,0.673986,-0.232573
145434543,0.670612,-0.242089
146024602,0.66692,-0.25193
146614661,0.663068,-0.262006
147204720,0.659196,-0.271499
147794779,0.65504,-0.281321
148384838,0.650759,-0.291174
148974897,0.646421,-0.300394
149564956,0.641996,-0.309775
150155015,0.637466,-0.319219
150745074,0.632574,-0.328619
151335133,0.627795,-0.337598
151925192,0.622588,-0.346964
152515251,0.617559,-0.355736
153105310,0.611957,-0.36511
153695369,0.606837,-0.373491
154285428,0.601057,-0.382631
154875487,0.59518,-0.391349
155465546,0.589514,-0.399809
156055605,0.583616,-0.40826
156645664,0.577579,-0.416556
157235723,0.57142,-0.424755
157825782,0.565078,-0.433193
158415841,0.558611,-0.441252
159005900,0.551957,-0.449348
159595959,0.545326,-0.457185
160186018,0.538578,-0.464933
160776077,0.531764,-0.472573
161366136,0.524805,-0.479966
161956195,0.517542,-0.487651
162546254,0.510272,-0.494926
163136313,0.503012,-0.502043
163726372,0.495509,-0.509307
164316431,0.488011,-0.516111
164906490,0.480535,-0.523069
165496549,0.472817,-0.529763
166086608,0.464728,-0.536661
166676667,0.456958,-0.543199
167266726,0.449022,-0.549479
167856785,0.440911,-0.555792
168446844,0.43278,-0.561945
169036903,0.424794,-0.567875
169626962,0.416338,-0.573965
170217021,0.407943,-0.579934
170807080,0.399597,-0.58552
171397139,0.391092,-0.591018
171987198,0.382349,-0.596629
172577257,0.373693,-0.60188
173167316,0.36492,-0.607164
173757375,0.356329,-0.61208
174347434,0.34718,-0.617137
174937493,0.338357,-0.621968
175527552,0.329468,-0.626616
176117611,0.320613,-0.631108
176707670,0.311384,-0.635612
177297729,0.302066,-0.640027
177887788,0.292741,-0.64418
178477847,0.283359,-0.648298
179067906,0.273999,-0.65229
179657965,0.264577,-0.655991
180248024,0.254895,-0.659754
180838083,0.245584,-0.663217
181428142,0.235971,-0.666609
182018201,0.226326,-0.669862
182608260,0.216736,-0.672973
183198319,0.207109,-0.675971
183788378,0.197409,-0.678785
184378437,0.18759,-0.681562
184968496,0.177707,-0.684146
185558555,0.167786,-0.686576
186148614,0.157871,-0.688912
186738673,0.147833,-0.69115
187328732,0.137523,-0.69322
187918791,0.127405,-0.695089
188508850,0.117124,-0.696833
189098909,0.107226,-0.698403
189688968,0.0971856,-0.699854
190279027,0.0868747,-0.701232
190869086,0.0765274,-0.702473
191459145,0.0663479,-0.703518
192049204,0.0560685,-0.70436
192639263,0.0458832,-0.705046
193229322,0.0357204,-0.705685
193819381,0.0251777,-0.706168
194409440,0.0149524,-0.706387
194999499,0.00455714,-0.706567
195589558,-0.00561256,-0.706612
196179617,-0.0155071,-0.706464
196769676,-0.0256659,-0.706141
197359735,-0.0363069,-0.705706
197949794,-0.0463521,-0.70519
198539853,-0.0566128,-0.704428
199129912,-0.0670872,-0.703481
199719971,-0.0773278,-0.702445
200310030,-0.0875525,-0.70123
200900089,-0.0979037,-0.699851
201490148,-0.10804,-0.698418
202080207,-0.118335,-0.696703
202670266,-0.128577,-0.694821
203260325,-0.138868,-0.692784
203850385,-0.148683,-0.6908
204440444,-0.159013,-0.688521
205030503,-0.169148,-0.685994
205620562,-0.179301,-0.683427
206210621,-0.189579,-0.680724
206800680,-0.199391,-0.677796
207390739,-0.209367,-0.674744
207980798,-0.219283,-0.671572
208570857,-0.228806,-0.668271
209160916,-0.23878,-0.664731
209750975,-0.248753,-0.661021
210341034,-0.258332,-0.657257
210931093,-0.267887,-0.653296
211521152,-0.277135,-0.649322
212111211,-0.286646,-0.645103
212701270,-0.296213,-0.640704
213291329,-0.305738,-0.636162
213881388,-0.31483,-0.631654
214471447,-0.324079,-0.626798
215061506,-0.333089,-0.621953
215651565,-0.34239,-0.616701
216241624,-0.351233,-0.611556
216831683,-0.360101,-0.606281
217421742,-0.369052,-0.600635
218011801,-0.377977,-0.594895
218601860,-0.386436,-0.589291
219191919,-0.395092,-0.583335
219781978,-0.403449,-0.577457
220372037,-0.411975,-0.571212
220962096,-0.420203,-0.564891
221552155,-0.428309,-0.558616
222142214,-0.436531,-0.551962
222732273,-0.444502,-0.545339
