Frequency (Hz),S12 Real,S12 Imaginary
0,0.188745,-0.70314
600060,-0.653073,-0.139349
1200120,-0.678393,-0.104285
1800180,-0.696237,-0.0914835
2400240,-0.713806,-0.0792052
3000300,-0.728289,-0.0651386
3600360,-0.740908,-0.048767
4200420,-0.750986,-0.0312386
4800480,-0.758303,-0.012783
5400540,-0.763357,0.00609921
6000600,-0.766411,0.0248542
6600660,-0.767683,0.0429127
7200720,-0.767504,0.0605804
7800780,-0.766295,0.0774995
8400840,-0.764223,0.0939287
9000900,-0.761578,0.109701
9600960,-0.758273,0.125204
10201020,-0.754381,0.139643
10801080,-0.750072,0.153925
11401140,-0.745633,0.167417
12001200,-0.74115,0.180637
12601260,-0.736437,0.193667
13201320,-0.731533,0.206185
13801380,-0.72649,0.218556
14401440,-0.721091,0.230724
15001500,-0.715819,0.242417
15601560,-0.710028,0.254058
16201620,-0.704263,0.265442
16801680,-0.698351,0.276261
17401740,-0.692363,0.287159
18001800,-0.686438,0.297601
18601860,-0.680614,0.307518
19201920,-0.674413,0.317609
19801980,-0.668375,0.32757
20402040,-0.662191,0.33718
21002100,-0.655896,0.346831
21602160,-0.649646,0.356211
22202220,-0.643246,0.365465
22802280,-0.636781,0.374638
23402340,-0.630123,0.383745
24002400,-0.623358,0.392709
24602460,-0.616554,0.401472
25202520,-0.61373,0.407322
25802580,-0.606651,0.415745
26402640,-0.599409,0.423967
27002700,-0.592171,0.432072
27602760,-0.584571,0.440407
28202820,-0.577014,0.448591
28802880,-0.5692,0.456757
29402940,-0.561185,0.465065
30003000,-0.553249,0.473075
30603060,-0.544867,0.479925
31203120,-0.536522,0.487872
31803180,-0.528726,0.495718
32403240,-0.52094,0.502505
33003300,-0.513486,0.508867
33603360,-0.505895,0.515439
34203420,-0.498146,0.521847
34803480,-0.490522,0.528074
35403540,-0.482563,0.534237
36003600,-0.474548,0.540857
36603660,-0.466718,0.547095
37203720,-0.458368,0.553432
37803780,-0.450303,0.55958
38403840,-0.442085,0.565657
39003900,-0.433642,0.571666
39603960,-0.425439,0.577432
40204020,-0.416826,0.583009
40804080,-0.40851,0.58838
41404140,-0.399671,0.593661
42004200,-0.390997,0.598953
42604260,-0.381878,0.604061
43204320,-0.373102,0.60903
43804380,-0.364142,0.613724
44404440,-0.35506,0.618338
45004500,-0.345818,0.622996
45604560,-0.336641,0.62736
46204620,-0.327214,0.631758
46804680,-0.318057,0.635801
47404740,-0.308902,0.639702
48004800,-0.299636,0.643487
48604860,-0.290213,0.647207
49204920,-0.280652,0.650916
49804980,-0.2712,0.654416
50405040,-0.26166,0.657928
51005100,-0.252204,0.661143
51605160,-0.242718,0.664297
52205220,-0.233111,0.667312
52805280,-0.223732,0.670214
53405340,-0.214394,0.672981
54005400,-0.20501,0.675648
54605460,-0.195469,0.67825
55205520,-0.185825,0.680681
55805580,-0.176454,0.683063
56405640,-0.167077,0.685337
57005700,-0.157597,0.68734
57605760,-0.147967,0.689327
58205820,-0.13845,0.691182
58805880,-0.12901,0.692804
59405940,-0.119568,0.694214
60006000,-0.109651,0.695315
60606060,-0.0992156,0.696136
61206120,-0.0885153,0.696552
61806180,-0.0768278,0.696847
62406240,-0.0661096,0.697791
63006300,-0.0560093,0.699039
63606360,-0.0464654,0.700213
64206420,-0.0369067,0.700839
64806480,-0.0272723,0.701336
65406540,-0.0171344,0.701633
66006600,-0.00730688,0.701636
66606660,0.00271529,0.701412
67206720,0.0125446,0.701258
67806780,0.0222482,0.700871
68406840,0.0323713,0.700434
69006900,0.0420862,0.699746
69606960,0.0519064,0.698995
70207020,0.0616204,0.698171
70807080,0.0714667,0.6971
71407140,0.0815334,0.696063
72007200,0.0910451,0.694856
72607260,0.100607,0.693437
73207320,0.110573,0.692024
73807380,0.120329,0.690422
74407440,0.130072,0.688708
75007500,0.139897,0.686784
75607560,0.149636,0.684869
76207620,0.159267,0.682743
76807680,0.168922,0.680471
77407740,0.178706,0.678109
78007800,0.188391,0.675682
78607860,0.197846,0.67301
79207920,0.207421,0.670249
79807980,0.217081,0.667374
80408040,0.226406,0.664375
81008100,0.235616,0.661384
81608160,0.245202,0.658065
82208220,0.254659,0.654608
82808280,0.263929,0.651125
83408340,0.273029,0.647488
84008400,0.282749,0.643504
84608460,0.291936,0.639676
85208520,0.300945,0.635728
85808580,0.309772,0.631637
86408640,0.318985,0.627242
87008700,0.327911,0.622927
87608760,0.337026,0.618336
88208820,0.345783,0.613715
88808880,0.35475,0.608886
89408940,0.363422,0.604015
90009000,0.372389,0.598849
90609060,0.381039,0.593714
91209120,0.389491,0.588467
91809180,0.398105,0.582973
92409240,0.406611,0.577331
93009300,0.415042,0.571604
93609360,0.423388,0.565867
94209420,0.431916,0.559854
94809480,0.440133,0.553773
95409540,0.44824,0.547437
96009600,0.456182,0.541301
96609660,0.464105,0.53494
97209720,0.472154,0.528301
97809780,0.479932,0.521582
98409840,0.487527,0.514736
99009900,0.495127,0.507789
99609960,0.502746,0.500613
100210021,0.510337,0.49356
100810081,0.517565,0.486206
101410141,0.524843,0.478911
102010201,0.532055,0.471273
102610261,0.539123,0.463504
103210321,0.545983,0.455888
103810381,0.552775,0.44795
104410441,0.559444,0.439873
105010501,0.566214,0.43192
105610561,0.572489,0.423914
106210621,0.579116,0.415374
106810681,0.585272,0.407046
107410741,0.591565,0.398551
108010801,0.597509,0.389811
108610861,0.603429,0.381212
109210921,0.609094,0.372372
109810981,0.614743,0.363581
110411041,0.620287,0.354542
111011101,0.625658,0.345299
111611161,0.630943,0.336183
112211221,0.635924,0.327002
112811281,0.640936,0.317779
113411341,0.64593,0.308137
114011401,0.650653,0.298533
114611461,0.65518,0.28902
115211521,0.659616,0.279326
115811581,0.663886,0.269516
116411641,0.667966,0.259624
117011701,0.671918,0.249749
117611761,0.675564,0.239886
118211821,0.679271,0.230029
118811881,0.682838,0.220027
119411941,0.686329,0.209837
120012001,0.689542,0.199535
120612061,0.692554,0.189462
121212121,0.695371,0.179164
121812181,0.698229,0.168631
122412241,0.700602,0.158468
123012301,0.702954,0.148197
123612361,0.705207,0.137569
124212421,0.707276,0.126643
124812481,0.709372,0.116183
125412541,0.711113,0.105744
126012601,0.712744,0.0947812
126612661,0.714194,0.084261
127212721,0.715466,0.0735479
127812781,0.716625,0.0630405
128412841,0.717616,0.052197
129012901,0.718264,0.0415323
129612961,0.719021,0.0304443
130213021,0.719441,0.0196513
130813081,0.719712,0.00878142
131413141,0.719799,-0.00163771
132013201,0.71975,-0.0124007
132613261,0.719525,-0.0229512
133213321,0.719028,-0.0339323
133813381,0.718481,-0.0446345
134413441,0.717866,-0.0552918
135013501,0.716951,-0.0660241
135613561,0.715936,-0.0766056
136213621,0.714676,-0.0872255
136813681,0.71341,-0.0980104
137413741,0.711862,-0.108927
138013801,0.710155,-0.119556
138613861,0.708295,-0.130113
139213921,0.706402,-0.140488
139813981,0.704179,-0.150982
140414041,0.70181,-0.161484
141014101,0.699317,-0.172094
141614161,0.69669,-0.182415
142214221,0.693877,-0.193071
142814281,0.690864,-0.203317
143414341,0.687786,-0.213554
144014401,0.684424,-0.223945
144614461,0.680821,-0.234144
145214521,0.677236,-0.244617
145814581,0.673649,-0.254237
146414641,0.669679,-0.26431
147014701,0.665659,-0.274285
147614761,0.661408,-0.284198
148214821,0.657112,-0.294023
148814881,0.652761,-0.303759
149414941,0.648028,-0.313607
150015001,0.643251,-0.323147
150615061,0.638365,-0.332677
151215121,0.633136,-0.342252
151815181,0.628117,-0.351437
152415241,0.622688,-0.360593
153015301,0.617322,-0.369764
153615361,0.611779,-0.378917
154215421,0.605997,-0.387935
154815481,0.60012,-0.396509
155415541,0.59413,-0.40537
156015601,0.587907,-0.414052
156615661,0.581667,-0.422606
157215721,0.575374,-0.430948
157815781,0.568737,-0.439431
158415841,0.562166,-0.447635
159015901,0.555193,-0.455781
159615961,0.548529,-0.463669
160216021,0.541536,-0.471636
160816081,0.534542,-0.479488
161416141,0.527114,-0.487312
162016201,0.519855,-0.494738
162616261,0.512278,-0.502398
163216321,0.504729,-0.509795
163816381,0.496853,-0.517126
164416441,0.489182,-0.524199
165016501,0.481115,-0.531466
165616561,0.47325,-0.538204
166216621,0.465123,-0.544965
166816681,0.456904,-0.551798
167416741,0.448588,-0.55824
168016801,0.440361,-0.564571
168616861,0.432046,-0.570764
169216921,0.423484,-0.577081
169816981,0.414913,-0.583101
170417041,0.406227,-0.588916
171017101,0.397428,-0.594662
171617161,0.388372,-0.600549
172217221,0.379565,-0.605944
172817281,0.3706,-0.611353
173417341,0.361354,-0.616696
174017401,0.352418,-0.621699
174617461,0.34296,-0.626891
175217521,0.333794,-0.631777
175817581,0.324367,-0.636483
176417641,0.314846,-0.641063
177017701,0.305625,-0.645534
177617761,0.296032,-0.64976
178217821,0.28641,-0.653996
178817881,0.276765,-0.658113
179417941,0.266889,-0.661998
180018001,0.257391,-0.665704
180618061,0.247446,-0.669427
181218121,0.237452,-0.672983
181818181,0.227523,-0.676242
182418241,0.217523,-0.679459
183018301,0.207767,-0.682463
183618361,0.197536,-0.685393
184218421,0.187299,-0.688109
184818481,0.177219,-0.690749
185418541,0.166841,-0.693294
186018601,0.156794,-0.695571
186618661,0.146608,-0.697565
187218721,0.136164,-0.699726
187818781,0.125641,-0.701711
188418841,0.115273,-0.703433
189018901,0.105062,-0.705105
189618961,0.0944393,-0.706428
190219021,0.0835039,-0.707806
190819081,0.0730879,-0.708813
191419141,0.0623785,-0.709862
192019201,0.0520012,-0.71066
192619261,0.041336,-0.71129
193219321,0.0308884,-0.711741
193819381,0.0202269,-0.712081
